user,rating,date,review
Анна Клюквина,1 из 5,9 месяцев назад,"Я даже не знаю с чего начать . Решила написать отзыв в надежде помочь , таким же людям, которые столкнуться с таким УЖАСОМ. Сначала , не написала отзыв , пока выплакала все слёзы, сейчас поделюсь . Так же напишу официальные письма в генеральную прокуратуру,  в отделение ВОРДИ, уполномоченному по правам ребенка , на сайт президента. Эта ситуация ( в моём случае-трагедия ). Получил большой резонанс.
19 мая 2024 года . Я и 2 моих детей (11 лет ,5 лет ), находясь в санатории в Ялте , решили посетить ДРИМВУД парк, а так же прогуляться по японскому саду .  На стойке продажи билетов , я уточнила , есть ли скидкам детям -инвалидам. Нам предоставили скидку. У меня ребенок 5 лет  , передвигается в адаптированной коляске , не ходит , не стоит . Но жить без аттракционов не может .
Он перенес 9 операций, я полностью всю себя посвящаю на его восстановление, но при этом в первую очередь-он ребенок ! Он заслуживает счастья и радость .
Попав в ДРИМВУД парк , мы были приятно удивлены тем красотам, что открылись перед нами . На первом же аттракционе, я взяла его на руки (25кг на минуточку ). Отстояла добросовестно в очереди на аттракцион.
Я никогда не говорю людям проступить . Мы в принципе не говорим слово -инвалид .
Он человек с дополнительными потребностями . Минут 15 постояв, подошла наша очередь . Мне контролер сказал , поставить ребенка у ростомера . ( рост у него 130см, он очень крупный парень , проходит по росту всегда и везде . Я ответила молодому человеку , что он не может стоять , ходить . На что мне было сказано ( дословно ): инвалидам нельзя кататься нигде у нас!
Как сильно плакал мой Степан , когда перед нами закрыли дверцу и пустили других людей .
Сколько мы с ним проплакали, сказать трудно . От горькой боли и обиды -разрывалось сердце на части .
Мы не уехали, только потому -что я не могу наказать старшего сына .
И он везде катался, а мы просто гуляли и ждали его. Каждый раз ребенок , просился кататься .
А что я должна ему сказать : что Тебя не пускают малыш, потому -что Ты не можешь стоять ?
Я пошла искать старшего администратора. На что услышала тоже самое , что по технике безопасности не положено .
Я предложила написать заявление, что несу полностью сама ответственность за жизнь и здоровье . Никаких претензий не имею . Мне отказали . Спустя минут 20 моей мольбы - выпросила 2 аттракциона ! 2!!!
Вымолила можно сказать.
Мы на такси потратили 3000 р.
Оставили там море слез , нервов и за что это нам?
Уважаемые руководители отеля .
Напишите у себя на сайте БОЛЬШИМИ буквами ! Если Ты инвалид -Тебе нельзя .
То есть ! Видя розовую справку, взять деньги за билет -ок .
А кататься нельзя .
Вы что там ? Все вменяемые ?
Весь мир борется , чтобы все были толерантные . Везде обязывают делать доступную среду .
А Вы дискриминируете людей !!!!!
Это не гуманно . Это бесчеловечно. Это ПОЗОР.
Ниже . Я прикреплю фото своего ребенка . Его грусть , а так же как он выглядит во весь рост . Он абсолютно нормальный мальчик .
На следующий день , я сняла им катер , они занимались дайвингом , на руках подняла его по канатной дороге . И везде были приветливые , понимающие люди .
У меня от Вас не просто камень на душе, а целая скала ."
В. Г.,1 из 5,9 месяцев назад,"Возле отеля и в самом отеле много бородатых военных, о которых администрация перед броней номера ничегор не говорит. Отдыхай и жди прилёта ракеты. Супер!!! Чеченцы пристают к девушкам на ресепшине и у бассейнов."
Ирина Сибирко,1 из 5,9 месяцев назад,Плохой отель
Юлия Дзюба,5 из 5,10 месяцев назад,"Отличное место для отдыха со всей семьей. Масса развлечений как на территории отеля так и за ее пределами. Персонал максимально вежлив и услужлив, разнообразное питание, спа зона на высоте,  нет ни одного негативного впечатления, заряд сил и энергии на весь год а впечатлений на всю жизнь"
Алсу Садыкова,1 из 5,11 месяцев назад,"Были сегодня 21.04.24 из хорошего только красивая местность…
Работает максимально некомпетентный персонал, которой не умеет корректно доставлять информацию до гостей , изначально говорят одно и одну сумму, а по факту получаем услугу дороже и на большее количество времени , за которую после предоставления просят доплатить( брали экскурсию по винодельне на 40 минут, в которой мы по итогу пропали на 1,5 часа).
Очень много ремонтный работ на территории , что портит впечатление ( об этом необходимо предупреждать).
В связи с всем вышеперечисленными неудобствами , доставленными нам, полетели все планы, наша дальнейшая точка был Новороссийск , куда мы , к сожалению, теперь приедем к НОЧИ!

Кратко говоря это распиаренное место, которое не оправдывает ожидания…

Прошу провести обучающие тренинги для персонала и донести им, что они работают, чтобы доставлять удовольствие гостям, а не портить им отдых…"
Dmitry Galit kiy,5 из 5,11 месяцев назад,"Санаторно-курортный комплекс «Mriya Re ort & SPA 5*» расположен в селе Понизовка на южном берегу Крыма, в 30 км от города Ялта."
Радик Сал,5 из 5,11 месяцев назад,Очень хорошее место
Владимир «SES»,5 из 5,год назад,"Всё супер,  рекомендую! Строительство мешает, терпимо надо понимать для чего всё делается, персонал ."
Игорь,1 из 5,год назад,"Находились на отдыхе  в феврале. У них был ремонт, с утра до вечера работала  дрель.  Это ни один отель себе 5* не позволяет. Говорят  у них в мае обновление  номеров,  так тогда нужно отель закрывать. …"
Марина Голофтеева,5 из 5,год назад,"Очень классный!
Особенно понравилась территория - за цену проживания можно делать очень много чего, можно хоть вообще из отеля не выезжать))
Для детей парк развлечений просто очень классный, территория ОГРОМНАЯ! Винный парк с арт-объектами, японский сад в самое сердечко (фотографий наделала на целый год вперед).
Еда просто мегавкусная! А если надоело на шведской линии - много разных ресторанов на территории
Всячески рекомендую!!!"
Ольга Смелая,5 из 5,год назад,"Лучший отель для семейного отдыха. И не только для проживания, но и для посещения локаций на 1 день. Каждый месяц по 3-4 мероприятия, самый движовый отель в Крыму. Спасибо от местных жителей!"
Artur Hu yev,1 из 5,год назад,"Первое впечатление (и последнее): 1 ноября заехал на КПП на своей машине бмв Х7. Спонтанно решил заселиться ( 2 ноября встреча с застройщиками). Пошел на рецепцию,  уже должен был уплатить 212000 за двухместый номер и!!!! Брелок ключей …"
Makar Sirota,5 из 5,год назад,Лучший отель где мне пришлось побывать
Алена Ковалева,2 из 5,год назад,"Всем доброго времени суток. Хочу поделиться впечатлениями от  услуги отеля ""день мечты"" . Сразу скажу что природа и ландшафт отеля на 10 из 5. Атмосфера потрясающая!!! Погода 11 октября была солнечной и безветренной. По приезду мне выдали …"
Катерина Горшенина,3 из 5,год назад,"Из плюсов - красивая ухоженная территория.
На этом всё .  Из пяти туалетов на ресепшене работает всего один , на вопрос почему , ответ «ну не работают» . При том что на ресепшене всегда очень много людей …"
Anna Bor iak,5 из 5,год назад,Мечта это мечта!!!!
Fahmi Fathia Ardian yah,5 из 5,год назад,Удивительно
Vlad Artemenko,5 из 5,год назад,"Одно радует, что это последний год, когда москали отдыхали в этом отеле."
Диана Худакова,5 из 5,год назад,Супер отдых
Иван Иванов,5 из 5,год назад,"Дорого, богато, разнообразно.
Брал дневное посещение.
Ощущение .... восторг и восхищение. …"
Андрей Рубцов,4 из 5,год назад,Хорошее место!
im,5 из 5,год назад,Лучшее в Крыму
Rick Oo terling,3 из 5,год назад,"Хороший отель, жаль только, что здесь так много грубых русских, а они совсем не дружелюбные, потому что моя жена не русская. Приятно, что ваш президент ведет войну, но, пожалуйста, не проецируйте это на нормальных людей!!!"
Danila Anakhov,5 из 5,год назад,"Отличный сервис на уровне мировых 5-звездочных отелей, хороший выбор еды и множество ресторанов на выбор, отличный санаторный набор услуг, чистая водичка на пляже и конечно же великолепный парк Дримвуд для детей!"
