user,rating,date,review
Келгрис Palkin,4,1721814059.091057,АНИМАЦИЙ 0! ФИГНЯ АНИМАЦИИ. ОТЕЛЬ В ПРИНЦИПЕ НОРМ. СТОЛОВАЯ НЕМНОГО УХУДШИЛАСЬ (БОЛЕЕ ПРОСТАЯ ЕДА). ТЕРРИТОРИЯ БОЛЬШАЯ.
Людмила Миннекарамова,5,1721814059.091057,"Отдыхали в Мрии в июне, уже в третий раз, полны приятных впечатлений и очень хочется вернуться снова! Прекрасный отель, природа, каждый уголок и метр земли возделан с любовью. Да, в этом году ремонт, закрыта песчаная зона, проход на окраину …"
Лилия Гуськова,1,1719222059.091057,"Крым сейчас не лучшее место для отдыха, а скорее опасное, не знаешь когда и что прилетит. …"
Кристина Кит,1,1719222059.091057,"Тихий ужас.. 28.04.24 была с семьёй как косплеер на фестивале сакуры. Персонал относился халатно, при просмотре дефиле просто проехали возле сцены. Еду у родителей оставили, мне сказали отдать родителям или персоналу(на тот момент я уже …"
Анна Клюквина,1,1719222059.091057,"Я даже не знаю с чего начать . Решила написать отзыв в надежде помочь , таким же людям, которые столкнуться с таким УЖАСОМ. Сначала , не написала отзыв , пока выплакала все слёзы, сейчас поделюсь . Так же напишу официальные письма в …"
В. Г.,1,1719222059.091057,"Возле отеля и в самом отеле много бородатых военных, о которых администрация перед броней номера ничегор не говорит. Отдыхай и жди прилёта ракеты. Супер!!! Чеченцы пристают к девушкам на ресепшине и у бассейнов."
Ирина Сибирко,1,1719222059.091057,Плохой отель
Юлия Дзюба,5,1713951659.091057,"Отличное место для отдыха со всей семьей. Масса развлечений как на территории отеля так и за ее пределами. Персонал максимально вежлив и услужлив, разнообразное питание, спа зона на высоте,  нет ни одного негативного впечатления, заряд сил и энергии на весь год а впечатлений на всю жизнь"
Алсу Садыкова,1,1713951659.091057,"Были сегодня 21.04.24 из хорошего только красивая местность… Работает максимально некомпетентный персонал, которой не умеет корректно доставлять информацию до гостей , изначально говорят одно и одну сумму, а по факту …"
Dmitry Galit kiy,5,1713951659.091057,"Санаторно-курортный комплекс «Mriya Re ort & SPA 5*» расположен в селе Понизовка на южном берегу Крыма, в 30 км от города Ялта."
Радик Сал,5,1713951659.091057,Очень хорошее место
Владимир «SES»,5,1711273259.091057,"Всё супер,  рекомендую! Строительство мешает, терпимо надо понимать для чего всё делается, персонал . …"
Игорь,1,1711273259.091057,"Находились на отдыхе  в феврале. У них был ремонт, с утра до вечера работала  дрель.  Это ни один отель себе 5* не позволяет. Говорят  у них в мае обновление  номеров,  так тогда нужно отель закрывать. …"
Марина Голофтеева,5,1711273259.091057,"Очень классный! Особенно понравилась территория - за цену проживания можно делать очень много чего, можно хоть вообще из отеля не выезжать)) …"
Ольга Смелая,5,1711273259.091057,"Лучший отель для семейного отдыха. И не только для проживания, но и для посещения локаций на 1 день. Каждый месяц по 3-4 мероприятия, самый движовый отель в Крыму. Спасибо от местных жителей!"
Artur Hu yev,1,1711273259.091057,"Первое впечатление (и последнее): 1 ноября заехал на КПП на своей машине бмв Х7. Спонтанно решил заселиться ( 2 ноября встреча с застройщиками). Пошел на рецепцию,  уже должен был уплатить 212000 за двухместый номер и!!!! Брелок ключей …"
Makar Sirota,5,1711273259.091057,Лучший отель где мне пришлось побывать
Алена Ковалева,2,1711273259.091057,"Всем доброго времени суток. Хочу поделиться впечатлениями от  услуги отеля ""день мечты"" . Сразу скажу что природа и ландшафт отеля на 10 из 5. Атмосфера потрясающая!!! Погода 11 октября была солнечной и безветренной. По приезду мне выдали …"
Катерина Горшенина,3,1711273259.091057,"Из плюсов - красивая ухоженная территория. На этом всё .  Из пяти туалетов на ресепшене работает всего один , на вопрос почему , ответ «ну не работают» . При том что на ресепшене всегда очень много людей …"
Anna Bor iak,5,1711273259.091057,Мечта это мечта!!!!
Fahmi Fathia Ardian yah,5,1711273259.091057,Удивительно
Vlad Artemenko,5,1711273259.091057,"Одно радует, что это последний год, когда москали отдыхали в этом отеле."
Диана Худакова,5,1711273259.091057,Супер отдых
Иван Иванов,5,1711273259.091057,"Дорого, богато, разнообразно. Брал дневное посещение. Ощущение .... восторг и восхищение. …"
Андрей Рубцов,4,1711273259.091057,Хорошее место!
im,5,1711273259.091057,Лучшее в Крыму
Rick Oo terling,3,1711273259.091057,"Хороший отель, жаль только, что здесь так много грубых русских, а они совсем не дружелюбные, потому что моя жена не русская. Приятно, что ваш президент ведет войну, но, пожалуйста, не проецируйте это на нормальных людей!!!"
Danila Anakhov,5,1711273259.091057,"Отличный сервис на уровне мировых 5-звездочных отелей, хороший выбор еды и множество ресторанов на выбор, отличный санаторный набор услуг, чистая водичка на пляже и конечно же великолепный парк Дримвуд для детей!"
Ludmila Rudenko,1,1711273259.091057,"Хочу забронировать отель с начала сентября, а до него через Букинг не достучаться. Какое-то чудо, этот сервис по русски  …"
Alex hor e,5,1711273259.091057,"Хороший отель, спасибо Ребята!!"
Вася,5,1711273259.091057,Мне там всё понравилось будем ехать 2 раз все круто
Дмитрий Сидоров,3,1711273259.091057,"Очень красиво, продуманный ландшафтный дизайн, дорого-богато ) на этом все ! Максимум 3 звезды , слабый менеджмент персонала , нет клиентоориентированности совсем, оставляют гостя  на едине с проблемами  и заботами, навязывают услуги за …"
Алик Кужев,5,1711273259.091057,Очень достойно и красиво.
Serg Alupka,1,1711273259.091057,"Прошу Вас приять меры в отношении вашего водителя, который был за рулём развозки Н475РС82 (20 апреля 2023 года). Грубое нарушение ПДД, хамское поведение, неопрятная внешность. И это лицо лучшего курорта??????? Сколько можно ! Набираете кого попало, как только служба безопасности пропускает?"
Ольга,5,1648114859.091057,Божественно
Батыр,5,1648114859.091057,"Отличное место,классно провели время,хорошее обслуживание,интересные развлечения,красивый пейзаж,вид,оформление.Позитивные аниматоры,им отдельное спасибо!"
Надежда Тарасова,5,1648114859.091057,Просто!!! …
Клим Дробот,5,1648114859.091057,Хороший
Алексей Тетерин,5,1648114859.091057,Красивая ухоженная территория.внимательный и профессиональный персонал.красивый вид.
Олеся Белякова,5,1648114859.091057,Название себя оправдывает.  Мечта …
Румия Елдашева,5,1648114859.091057,"Очень классный отель, классно можно провести время и для взрослых , и для детей и для подростков есть развлечения, особенная благодарность команде аниматоров за отличное времяпроведение"
Ole ya Dzhikanaeva,5,1648114859.091057,"Отель на высшем уровне. Особенно хочу отметить отличную команду аниматоров! Прямо слов нет, одни эмоции."
Leka Zvereva,2,1648114859.091057,"К сожалению, остановиться в отеле не смогли, т.к. с маленькой собачкой 3кг, с паспортом, документами, все прививки,  останавливаться в отели нельзя( Только в вилле за 250000руб. Отель современный, но такие странные правила( Во многих странах с животными до 5кг с документами - WELCOME! Такое...(((("
Melvea Plu,5,1648114859.091057,"Отель с тренажерным залом и со спортзалом. Очень атмосферный отель с красивысм японским садом, винным парком и т.д. Это отель из которого не хочется уезжать!"
Платон Петров,5,1648114859.091057,"Отдыхаю тут уже 10 дней, все очень нравится, еда вышка, анимация пушка) отель выше всяких похвал. Приеду сюда еще раз 100%"
Иван Рублей,5,1648114859.091057,Мрия резорт это то место где исполняются все мечты. Лучший отель в Крыму!
Арсеній Чуйко,5,1648114859.091057,Прекрасный отель.
Мария Сесина,5,1648114859.091057,"Около недели я провела на отдыхе в санаторно- курортном отеле Мрия. Очень хотелось бы отметить великолепный сервис и прекрасную еду в ресторане Azur. Также в отеле предоставляются оздоровительные процедуры, которые помогут восстановить ваше здоровье. Отдельно хотелось бы отметить сногсшибательную анимацию, которая скрасит ваш отдых и вы точно не заскучаете"
Ma ha Vito',5,1648114859.091057,"Ездим семьей не в первый раз. Всегда хорошая анимация, ресторан Азур с вкусной едой. Берём на 10 дней с лечением. Врачи доброжелательные и приятные люди, как и весь персонал. Территория отеля большая и благоустроенная. Нравится гулять по Японскому саду, по новому пирсу. Советую для посещения."
Жате goo e,5,1648114859.091057,"Превосходный отель в котором есть все. Есть классные рестораны(их всего 10) , а также активности для всех возрастов."
Денис Беляков,5,1648114859.091057,"Отличное место для семейного отдыха, море впечатлений, рекомендую."
Maxim Shiroglazov,4,1648114859.091057,"Шикарный отель. Всё направлено на полный отдых человека. Но зимой там делать нечего. Парк развлечений почти не работает, только несколько аттракционов. Не советую ходить в купель японского парка - гарантирована простуда 100% . Сама вода холодная в купели и переодеваешься практически на улице,но это полбеды, главное одеваешься там же мокрый и замерзший. В итоге с простудой уехал домой. Всё претензии работники отеля проигнорировали. Выселение в 12 часов,так что вас обедом не покормят,хотя вы заезжали  вечером,пропустив этот обед. Питание шикарное,если не сказать больше,такое многообразие и качество продуктов можно увидеть только в следующий раз при посещении Мрия. Жаль картофельного пюре бывает не часто. Не работал и бассейн с подогревом. Не работал эскалатор с моря. Хотя это наоборот полезно. Больше ходишь пешком. Очень дорогие вина в отеле. Менеджмент хромает. Сделайте дешевле и продадите гораздо больше. Но нет - 3000 за бутылку вина и никто практически не берет!!! Нет лёгких алкогольных напитков,это большое упущение - человек приехал отдыхать, а не думать ,где же ему купить пару литров пива,тем более ближайшие магазины не в шаговой доступности. Советую сразу брать машину на прокат,все проблемы уйдут,сразу в аэропорту,я нашёл на авито - RedLine Car Rental - самые дешёвые авто и без залога и ограничения пробега. Винный парк это конечно нечто,красота и масштаб завораживает. Но посетить его за 3000 или 3500 рублей - это не каждому по карману. Свое вино,как они говорят, нулевой километр,должно быть дешовым. Но и походить по многочисленным дорожкам и паркам очень впечатляет. Зимой моря вообще не будет, только бросить монетку. С собой берите минимум вещей. В номере есть ВСЕ!!! Живая музыка почти целый день, прекрасное исполнение современных песен. Солистка вообще завораживает своим голосом,тембром и амплитудой. Большой талант,да и про остальных участников джаз банды не скажешь меньшего. Клавишные суперские, да и ударные и басгитара. Парень темнокожий-ни на кого не похожий-харизма и голос! Электрокары спасут вас в любую погоду - увезут и привезут. Вылечусь от простуды,может ещё напишу что нибудь. Купель не советую, в ней вам никто не поможет,там про вас вообще забудут,деньги то уплачены ,а остальное ваше дело. 2500 минимум будет заработать простуду,при чем заранее вам не скажут,что вы будете раздеваться и одеваться на улице в 3 градуса,если повезет,и ветром в 30 метров в секунду."
Елена. Чубачук,5,1648114859.091057,"Самый лучший, элитный отель!!!  …"
Овчинникова Анна,5,1648114859.091057,"Супер отель,работает команда профессионалов,отлично отдохнули,Мрия самое лучшее место в России! …"
Ирина Орлова,5,1648114859.091057,"Просто замечательные, самые весёлые и отзывчивые аниматоры как для взрослых, так и для детей. Парни зажигательные и всех расшевелят, чтобы поиграть и повеселиться. Постоянно интересуются настроением и выслушивают пожелания. Интересные игры, программы и развлечения. Всё на 5+ и даже лучше. Весь персонал очень приветливый и отвественный."
Марат Мизиев,5,1648114859.091057,Аниматор Влад очень интересно развлёк моего ребёнка очень ответственно относится к своей работе
Элина Гонова,5,1648114859.091057,"Аниматор Влад, очень интересный, супер-классно проводит все мероприятия) с ним точно не соскучишься"
Наталья Ильина,5,1648114859.091057,"Отдыхаем с 17 января 2022 года. Все очень нравится. Особенно в этом году порадовали ребята из анимации. Хочется отметить Илью, Влада. Программа очень занимательная для всех возрастов!"
Мария Коваль,5,1648114859.091057,"Отдыхаем сейчас здесь! Большая и красивая территория для прогулок. Большой выбор вкусной и здоровой пищи. Уютные и просторные номера с красивым видом . Доброжелательный персонал, готовый помочь в любом вопросе .Большой выбор анимации для детей и взрослых. Интересные настольные игры для всех возрастных групп. Отличные аниматоры, умеющие наладить контакт с детьми. Особенно понравился аниматор Илья. Отелю ставим 5/5"
Максим Иванников,5,1648114859.091057,"Очень нравится здесь отдыхать! Очень красиво и внутри отеля и на территории, много развлечений для детей и взрослых, вкусная еда, уютные номера. Также приятные процедуры в мед.центре! Большое спасибо аниматорам за ежедневные игры!"
Елена Коваль,5,1648114859.091057,"Высшую оценку в отеле заслуживает всё: комфортные условия проживания, приветивый, отзывчивый персонал, вкуснейшая кухня, квалифицированный персонал мед.центра и конечно  прекрасно организованный досуг и яркая анимация!!"
Иванников Степан,5,1648114859.091057,"Я отдыхаю в этом отеле, и там очень вкусно готовят,и  вежливый персонал. Много развлечений для детей и взрослых, хорошие аниматоры"
Roff 333,4,1648114859.091057,Хороший отель для спокойного семейного отдыха.К сожалению расположен вдали от цивилизации.Сервис своих денег не стоит.
Полина Ильина,5,1648114859.091057,"Добрый день! Прекрасный отель, очень радует прекрасный состав работников. Особенно Илья, самый весёлый! Волшебный сервис, все на высшем уровне!! Очень высокий уровень! Приеду сюда ещё раз!"
Polina Il,5,1648114859.091057,Отдыхаю в «Мрия» уже третий раз!! Безумно нравится! Очень радует клиентоориентированность и волшебный состав работников! С Ильей особенно весело! Вернусь сюда обязательно!
Кристина Сымбина,5,1648114859.091057,"Было классно, наконец-то поиграла в покер!!! Илья - веселый, энергичный, зажигательный ведущий"
Дима S,5,1648114859.091057,"Илюха - крутой ведущий, покер случился отличный! Я победил и выиграл главный приз, юхуууууууу"
Алина Сымбина,5,1648114859.091057,"Ойййй, играааааа в покер - мое любииииимое а тут ещё и спортивный покер в райском месте -Мрия лучше взрослой анимации, чем покер, я не встречала! Потрясающе динамичный ведущий Илья добавляет в игру частичку азарта я проиграла все фишки, но получила колоссальное удовольствие"
Елена Кулагина,5,1648114859.091057,"Спасибо огромное за отличный сервис, всем обслуживающим служащим низкий поклон за добросовестный труд."
Иля bmw,5,1648114859.091057,…
валера короткий,5,1648114859.091057,Жостойный отдых.
Марина Бугрова,5,1648114859.091057,"Очень красивый и продуманный отель. Заслуживает свои 5 звёзд. Вежливый, отзывчивый и позитивный персонал. Моё любимое место отдыха."
София Петракова,5,1648114859.091057,"Илья лучший!!! Аниматоры лучшие, лучший отель в котором я была, вкусная еда, приятный сервис, все понравилось,приезжаю суда несколько раз, мафия интересная, для детей все есть, супер!! спасибо!!!!!"
Alex Wait,5,1648114859.091057,Ребятки это круто!!!Дорого богато)))Тут я бы остался жить.
Анна Моисеева,5,1648114859.091057,"Место, в которое хочется вернуться! Все замечательно! И место красивейшее, и отель на высшем уровне! И персонал! Были в декабре, но это не помешало великолепно отдохнуть! Есть все - медицинский центр, фитнес, спа, сауны, хамам, экскурсии в горы, велосипедные прогулки. Отдельно хочется поблагодарить команду аниматоров - Владислава, Константина, Клима, Ольгу и девушку, которая работала с ними (к сожалению забыли ее имя). Ребенок был все время занят, с удовольствием бежал к ребятам! Каждый день новые мастер классы, прогулки, вечерние дискотеки для детей. Ребята развлекали не только детей, но и взрослых. Мини игры, покер, мафия, валейбл, баскетбол, футбол, настольный теннис, аквааэробика. Каждый вечер шоу-программы. Ночной клуб это отдельная тема) Бармен Олег - мастер своего дела! Коктейли просто сказка! Обязательно приедем летом!"
Дмитрий Коробцов,4,1648114859.091057,Номер супер.. встретили супер.шампань и все такое. .супеи..территория супер... потом сумки сам нес.. дискарь только по средам...все сдулось через 5 часов прибывания...думайте...еще сутки прошли...все супер...территория...питание...если бы не сумки..
Яна Лазарева,5,1648114859.091057,"Мария,Ольга лучшие аниматоры!!!для каждого свой подход все,везде,для всех Отель прекрасный Еда отличная Спасибо Мрия!!!!"
Антонина Печенегина,5,1648114859.091057,МРИЯ - это сказка !!!
Игорь Куртов,5,1648114859.091057,Отличный отель. Всем довольны. Даже в декабре есть чем заняться.
tanya ko trikina,5,1648114859.091057,"Отдыхала в Мрии с 11 по 21 декабря 2021 года. Сервис в отеле на высшем уровне: ресепшен, горничные, повара (кухня разнообразная и рассчитана на любого, даже изысканного отдыхающего). В отеле предусмотрены бесплатные сервисы (открытый и закрытый подогреваемые бассейны, хаммам, бани и т.д.), развлечения на любой вкус и возраст!!! Команда аниматоров очень большая и креативная, не дадут вам скучать или грустить. За 11 дней отдыха программа ни разу не повторялась и была очень разнообразна. Отдельную благодарность хотела бы выразить Владу и Константину за доброжелательность, заряд позитива и энергии! Ребята профессионалы своего дела и наглядно демонстрируют любовь к своему делу!!!"
Людмила Лопачук,5,1648114859.091057,"Здравствуйте! Мне посчастливилось побывать в таком шикарном месте, Как санаторий * МРИЯ*.БЛАГОДАРЮ СУДЬБУ ЗА ТАКОЕ СТЕЧЕНИЕ ОБСТОЯТЕЛЬСТВ. Благодарю руководство СБЕРБАНКА, За выделение путёвки моей дочери ЧУЙ ВИКТОРИИ ВИКТОРОВНЫ. Дочь к мóему 65 летию сделала великóлепный подарок-взяла с собой на отдых!!!! В санатории МРИЯ! МЫ ПОПАЛИ В СКАЗКУ...., ГДЕ всё создано для óтдыха !!!!!! Здесь всё продумано до мелочей! От момента заселения в номера., до момента отъезда! Отношение к отдыхающим великолепное! Кухня! Всё на высшем уровне! На любой вкус! Какие ПОВАРА! УНИФОРМА! А ОФИЦИАНТЫ?! НЕ УСПЕЛ ОСВОБОДИТЬ ТАРЕЛОЧКУ... ТУТ ЖЕ НЕСЛЫШНО ПОДХОДИТ Иииии взмахом руки... Хоп! И чисто!!!!! А комплимент от заведения: Утром- фужер шампанского! Вечером- бокал хорошего вина... Красного или белого!!!!! Обязательно для посетителей Кухня НАРОДОВ МИРА! Оформление не только зала... Но! И обслуживающего персонала!!!!!! Такая уютная обстановка! Что забываешь Зачем ты сюда пришёл. Отдельно хотелось бы отметить, Что в номерах каждое утро замена постельного белья, моющих средств., для гиґиены полости рта.... Всё, что необходимо....!!!!!!! Очень много мест, которые необходимо посетить для своего кругозора! Это пруд с КАРПАМИ! ИЛИ КАК ГОВОРЯТ ЗОЛОТЫМИ РЫБКАМИ. ЧУДО ЧУДНОЕ! ДИВО ДИВНОЕ! ЯПОНСКИЙ САД! ОЛИВКОВЫЕ РЕЛИКТОВЫЕ ДЕРЕВЬЯ! КАЖДОЕ УТРО МОЕТСЯ́, ПОДМЕТАЕТ СЯ ТЕРРИТОРИЯ. У КАЖДОГО РАБОЧЕГО СВОЁ МЕСТО- территория Для выполнения составленных трудовых задач! А КАКИЕ ВЕЧЕРА ОТДЫХА ПРОВОДЯТ АКТЁРЫ??!!!!!! ОДА ТОЛЬКО *ФРАНЦУЗСКАЯ ИСТОРИЯ* ГДЕ ПОСЕТИТЕЛЕЙ ВСТРЕЧАЛИ РОЗОЙ, КОТОРУЮ ПОМЕСТИЛИ В ЖИДКИЙ АЗОТ! КРАСОТА!!!! И ОБЯЗАТЕЛЬНО ФУЖЕР ШАМПАНСКÓГО! А КАКОЙ ЖЕ ФРАНЦУЗСКИЙ ВЕЧЕР БЕЗ НЕГО? ОСОБОЕ ЗНАЧЕНИЕ - БАССЕЙН...! РАБОТА КОТОРОҐО С 8.00-24.00 А ЕЩЁ НЕОЖИДАННАЯ ВСТРЕЧА С ГЛАВОЙ  ..... ГРЕФ ГЕРМАНОМ ОСКАРОВИЧЕМ!!!!!! ДЕЙСТВИТЕЛЬНО ПОЛНАЯ НЕОЖИДАННОСТЬ ДЛЯ РЯДОВОГО РАБОТНИКА( ЧУЙ ВИКТОРИИ ВИКТОРОВНЫ) СБЕРБАНКА С ДАЛЬНЕГО ВОСТОКА города БЛАГОВЕЩЕНСК АМУРСКОЙ ОБЛАСТИ! И КОНЕЧНО ФОТО НА ПАМЯТЬ. ВЫРАЖАЕМ ОГРОМНЕЙШЕЕ СПАСИБО РУКОВОДСТВУ За наше НАСЛАЖДЕНИЕ ПОЛУЧЕННОЕ В САНАТОРИИ!!! ПРОЦВЕТАНИЯ! УСПЕХОВ! ОТЛИЧНЫХ ОТЗЫВОВ О РАБОТЕ САНАТОРИЯ!!!!!!!!!! С уважением ЧУЙ ВИКТОРИЯ ВИКТОРОВНА ЛОПАЧУК ЛЮДМИЛА ВИКТОРОВНА КОМНАТА N 1604. И ОГРОМНОЕ СПАСИБО ЗА ОПЕРАТИВНОЕ ПЕРЕСЕЛЕНИЕ ВО ВРЕМЯ ШТОРМА 01.12 2021. СПАСИБО ОГРОМНОЕ КОЛЛЕКТИВУ ЗА СЛАЖЕННУЮ РАБОТУ ВСЕГО ОГРОМНОГО КОЛЛЕКТИВА САНАТОРИЯ *МРИЯ* ВСЕГДА, СКОЛЬКО БЫ РАЗ ПЕРСОНАЛ НЕ ВИДЕЛ ОТДЫХАЮЩИХ... ВСЕГДА ПРИВЕТСТВИЕ- ЗДРАВСТВУЙТЕ! ДОБРЫЙ ДЕНЬ! ДОБРЫЙ ВЕЧЕР!!!!! ;"
Виктор Локтионов,5,1648114859.091057,Место отличное ведутся строительные качественные работы
Vita Cyganov,5,1648114859.091057,"Мрия - это очень хорошо,уровень высочайший,сервис очень хороший."
Вечный Бессмертный,5,1648114859.091057,Вау!
Вадим Истранин,5,1648114859.091057,"Тут есть всё, что вам даже ещё не хочется, но вы обязательно захотите."
Miracle fi hing,5,1648114859.091057,"5 звёзд, советую! Шампанское утром, вино вечером. С едой есть нюансы, но в основном все отлично! Если кому-то дорого пиво за 450р, прилетайте на Камчатку и сравните цены)). Сейчас декабрь, тепло, отлично! Мед центр класс!Кому дорого, отдыхайте в другом месте  …"
Michael Vetyugov,5,1648114859.091057,Отличный отель для отдыха. Сейчас нужен сертификат о вакцинации и пцр тест
Екатерина Горбачева,5,1648114859.091057,"Ну ооочень дорогой отель. Если сравнивать с Турцией/ Египтом то обычная 5*. Номера просторные, ванная комната на 2 персоны сразу, точнее раковины 2, в номере тв (2 суток настраивали), холодильник (мини бар платный), чайная станция (пополняют каждый день), вода сколько хочешь, для ребёнка добавили кровать, вечерами конфетки приносили, в ванной комнате халат, полотенца 2 для тела, 2 для рук (и это только для 1 человека, на 2 тоже такой же набор общее количество полотенец штук 10-12), зубной набор, расчёска, все мыльные принадлежности + мочалка, шапочка, бритва= короче есть все, Фен. Сам отель 6ти этажный + м (рестик, бассейн) + граунд с детским клубом и ночным. 2 лепестка отеля это номерной фонд, 3 конференц холл и 4 мед центр. Винный парк (оч большой есть экскурсии), японский сад (экскурсия 2тыщ), дримвуд (для детей и не только бесплатный для проживающих) очень суперский парк, большой несколько аттракционов и мастер классы. Ресторан Азур - основной 3х разовое питание шведский стол, утром бокал шампанского, вечером бокал вина. Еда разнообразная рыба, баранина, утка, свинина, говядина, индейка, курица, овощи, фрукты сезонные, сладости, детокс меню. Остальные платные - оливио, мандарин, чёрное море. Мы были с 21 ноября - 4 декабря. Питание за 5 дней до выезда изменилось в худшую сторону, видимо связано с количеством приехавших в отель. Не знаю как они справляются в сезон ( место не хватает в рестике, народ толпится у всех блюд). Снимаю балл именно за это.. В бассейне таже песня, если хочешь реально поплавать (а не побултыхаться в хлорке) то приходить до 8 утра или после 9 вечера. Открытый бассейн с подогревом Супер под солнышком очень круто, наслаждались теплом. Пляж крупная галька. Мы в отеле были мало, катались по полуострову. Очень понравился Крым!!! С удовольствием приеду снова, но уже с мед процедурами."
Наталья Петухова,5,1648114859.091057,"Другой оценки и быть не может! Приезжайте, наслаждайтесь! Открывайте  свои звёзды! Мои три звёзды отданы аниматору Владу, тренеру физ. подготовки Владимиру Шалвовичу и сотруднику мед.центра Медведевой Ирине!"
Владимир Макаров,5,1648114859.091057,"После Турции понял, что питание Мрии гораздо разнообразнее  …"
ВЛАДИМИР ПИЛЮГИН,5,1648114859.091057,Отличный отель
Анастасия,2,1648114859.091057,"Ковид заметно подкосил Мрию. Еда в ресторане стала заметно проще. В номере была драная и грязная кровать. К 1 декабря отель вообще не был украшен. Якобы из-за ковида спа-комплекс платный. 5* исключительно за прежние заслуги, сейчас запрашиваемых денег отдых абсолютно не стоит"
Дарья Азарова,5,1648114859.091057,"Отдыхала с 21 ноября по 2 декабря с мамой и сестрой, ставлю 100000 из 10 этому месту, тут превосходно все, от ландшафта и архитектуры до питания и процедур, очень приветливый персонал. Отдельно хотелось бы отметить вечерние мероприятия, проводимые Ильей и Владом, ребята просто сделали наш отдых! Было всегда весело и интересно, атмосфера и их подход к организации мероприятий подкупил."
